,price,rooms,area,location1,market,households_qty_per_location,rooms_per_households_qty,market_per_households_qty
1321,446100.0,1,29.74,Fabryczna,primary,1211,0.08257638315441783,0.4624277456647399
1322,799000.0,3,67.75,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1323,882363.0,3,57.54,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
1324,499000.0,2,35.5,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1325,500000.0,1,34.14,Stare Miasto,secondary,1133,0.088261253309797,0.5710503089143866
1326,598260.0,3,67.08,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1327,539000.0,3,42.82,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1328,890000.0,3,82.0,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1329,527925.0,2,38.1,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1330,950000.0,2,58.1,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1331,750000.0,4,80.0,Stare Miasto,secondary,1133,0.353045013239188,0.5710503089143866
1332,818727.0,4,70.58,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1333,399000.0,2,34.47,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1334,849000.0,6,86.47,Stare Miasto,secondary,1133,0.529567519858782,0.5710503089143866
1335,750000.0,4,84.0,Krzyki,secondary,1802,0.22197558268590456,0.5477247502774695
1336,545000.0,2,40.0,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1337,619000.0,4,67.7,Stare Miasto,secondary,1133,0.353045013239188,0.5710503089143866
1338,690000.0,3,66.55,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1339,755000.0,3,62.5,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
1340,899000.0,3,60.77,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1341,731700.0,2,54.2,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1342,394000.0,1,29.23,Fabryczna,secondary,1211,0.08257638315441783,0.4624277456647399
1343,696170.0,3,60.59,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1344,779304.0,4,68.36,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1345,809000.0,3,55.58,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
1346,819000.0,3,63.39,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1347,874998.0,3,61.96,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1348,565000.0,2,51.8,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1349,937440.0,4,67.2,Śródmieście,primary,804,0.4975124378109453,0.4092039800995025
1350,679999.0,2,56.0,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1351,752160.0,3,62.68,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1352,564846.0,2,40.06,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1353,660000.0,3,58.0,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1354,769120.0,3,69.92,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1355,819000.0,5,89.0,Krzyki,secondary,1802,0.27746947835738067,0.5477247502774695
1356,450000.0,1,30.0,Śródmieście,primary,804,0.12437810945273632,0.4092039800995025
1357,650000.0,3,50.87,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1358,745586.0,3,71.76,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1359,800000.0,2,51.05,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1360,631000.0,3,70.2,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1361,680000.0,2,49.71,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1362,1009060.0,4,80.13,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1363,669000.0,2,60.1,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1364,620000.0,2,41.02,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1365,574500.0,2,51.5,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1366,587094.0,3,54.92,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1367,953040.0,4,72.2,Śródmieście,primary,804,0.4975124378109453,0.4092039800995025
1368,570000.0,3,62.1,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1369,750000.0,3,97.7,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1370,926900.0,4,71.3,Śródmieście,primary,804,0.4975124378109453,0.4092039800995025
1371,847000.0,2,39.0,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1372,918881.0,4,77.38,Stare Miasto,primary,1133,0.353045013239188,0.5710503089143866
1373,1109680.0,3,85.36,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1374,755000.0,3,64.61,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1375,629000.0,2,69.0,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1376,584192.0,2,45.64,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1377,459127.0,2,36.01,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1378,735000.0,3,60.0,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1379,682000.0,2,52.3,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1380,540500.0,1,39.3,Psie Pole,primary,1233,0.08110300081103002,0.6796431467964315
1381,931000.0,3,53.11,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1382,787494.0,3,65.32,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1383,696179.0,3,60.59,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1384,676515.0,3,58.07,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1385,886048.0,2,44.94,Śródmieście,primary,804,0.24875621890547264,0.4092039800995025
1386,855900.0,3,63.4,Śródmieście,primary,804,0.3731343283582089,0.4092039800995025
1387,499000.0,1,40.0,Śródmieście,secondary,804,0.12437810945273632,0.4092039800995025
1388,649000.0,2,52.62,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1389,686654.0,2,48.39,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1390,495000.0,2,40.0,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1391,573805.0,3,45.67,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1392,769000.0,5,100.0,Krzyki,primary,1802,0.27746947835738067,0.5477247502774695
1393,820000.0,4,98.0,Krzyki,secondary,1802,0.22197558268590456,0.5477247502774695
1394,609996.0,2,55.8,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1395,759000.0,3,58.0,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1396,490000.0,2,46.3,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1397,470000.0,2,38.2,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1398,498000.0,2,46.11,Fabryczna,secondary,1211,0.16515276630883566,0.4624277456647399
1399,1009540.0,4,80.13,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1400,531000.0,2,38.14,Stare Miasto,primary,1133,0.176522506619594,0.5710503089143866
1401,770000.0,3,56.0,Stare Miasto,primary,1133,0.264783759929391,0.5710503089143866
1402,490000.0,3,48.0,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1403,435000.0,2,32.0,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1404,728754.0,4,70.14,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1405,725000.0,1,68.38,Krzyki,secondary,1802,0.05549389567147614,0.5477247502774695
1406,790725.0,2,39.0,Śródmieście,primary,804,0.24875621890547264,0.4092039800995025
1407,549000.0,2,39.27,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1408,1070000.0,1,38.74,Stare Miasto,secondary,1133,0.088261253309797,0.5710503089143866
1409,563000.0,3,51.91,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1410,551925.0,2,47.2,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1411,568664.0,2,46.65,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1412,689000.0,3,60.71,Psie Pole,secondary,1233,0.24330900243309003,0.6796431467964315
1413,670000.0,2,69.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1414,896000.0,3,64.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1415,500000.0,2,36.0,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1416,660972.0,3,57.98,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1417,750600.0,3,62.55,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
1418,745000.0,3,64.0,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1419,729000.0,2,44.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1420,820000.0,2,61.0,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1421,549731.0,1,35.72,Stare Miasto,primary,1133,0.088261253309797,0.5710503089143866
1422,581062.0,3,51.65,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1423,799000.0,3,86.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1424,740900.0,3,80.95,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1425,699000.0,3,66.16,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1426,758334.0,2,49.0,Śródmieście,primary,804,0.24875621890547264,0.4092039800995025
1427,963158.0,4,75.1,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1428,1188000.0,2,56.6,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1429,413508.0,2,40.54,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
1430,610000.0,2,46.05,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1431,695000.0,5,99.31,Fabryczna,secondary,1211,0.41288191577208916,0.4624277456647399
1432,980000.0,3,67.1,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1433,699000.0,3,63.89,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1434,549000.0,1,34.59,Stare Miasto,primary,1133,0.088261253309797,0.5710503089143866
1435,645000.0,3,65.76,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1436,719030.0,2,55.31,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1437,929000.0,4,88.49,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1438,413508.0,2,40.54,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
1439,452821.0,2,32.43,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1440,453504.0,2,35.43,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1441,795392.0,1,64.93,Fabryczna,primary,1211,0.08257638315441783,0.4624277456647399
1442,779000.0,3,72.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1443,939875.0,3,72.3,Śródmieście,primary,804,0.3731343283582089,0.4092039800995025
1444,559000.0,2,56.0,Śródmieście,secondary,804,0.24875621890547264,0.4092039800995025
1445,449000.0,3,56.5,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1446,428000.0,2,36.1,Psie Pole,secondary,1233,0.16220600162206003,0.6796431467964315
1447,525000.0,2,46.71,Stare Miasto,secondary,1133,0.176522506619594,0.5710503089143866
1448,799000.0,3,70.35,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1449,580710.0,2,44.67,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1450,713564.0,2,87.02,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1451,889644.0,4,87.22,Krzyki,primary,1802,0.22197558268590456,0.5477247502774695
1452,604005.0,1,40.2,Stare Miasto,primary,1133,0.088261253309797,0.5710503089143866
1453,669000.0,3,52.86,Psie Pole,primary,1233,0.24330900243309003,0.6796431467964315
1454,555000.0,2,55.52,Krzyki,secondary,1802,0.11098779134295228,0.5477247502774695
1455,631000.0,4,70.19,Psie Pole,primary,1233,0.32441200324412006,0.6796431467964315
1456,320000.0,1,34.5,Psie Pole,secondary,1233,0.08110300081103002,0.6796431467964315
1457,579000.0,3,72.59,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1458,557500.0,1,39.8,Śródmieście,primary,804,0.12437810945273632,0.4092039800995025
1459,875000.0,3,100.0,Krzyki,secondary,1802,0.1664816870144284,0.5477247502774695
1460,490500.0,2,39.08,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1461,382900.0,2,36.0,Krzyki,primary,1802,0.11098779134295228,0.5477247502774695
1462,780000.0,3,87.0,Stare Miasto,secondary,1133,0.264783759929391,0.5710503089143866
1463,674560.0,2,48.02,Psie Pole,primary,1233,0.16220600162206003,0.6796431467964315
1464,599000.0,3,76.2,Fabryczna,secondary,1211,0.2477291494632535,0.4624277456647399
1465,850000.0,3,72.0,Śródmieście,secondary,804,0.3731343283582089,0.4092039800995025
1466,735540.0,3,60.8,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1467,503900.0,2,41.74,Fabryczna,primary,1211,0.16515276630883566,0.4624277456647399
1468,978570.0,3,74.7,Fabryczna,primary,1211,0.2477291494632535,0.4624277456647399
1469,427201.0,3,51.6,Krzyki,primary,1802,0.1664816870144284,0.5477247502774695
