,price,rooms,area,location1,market
534,650050.0,3,58.17,Krzyki,primary
535,600000.0,2,67.65,Śródmieście,secondary
536,537344.0,2,41.98,Psie Pole,primary
537,419900.0,1,38.05,Śródmieście,secondary
538,899000.0,4,88.29,Krzyki,secondary
539,940000.0,3,64.2,Krzyki,secondary
540,449000.0,2,34.2,Śródmieście,secondary
541,853435.0,4,64.9,Śródmieście,primary
542,570618.0,3,54.92,Psie Pole,primary
543,648900.0,2,50.0,Stare Miasto,secondary
544,715500.0,2,53.0,Śródmieście,primary
545,610890.0,2,48.7,Fabryczna,primary
546,430000.0,3,41.0,Śródmieście,secondary
547,395000.0,2,63.78,Śródmieście,secondary
548,693029.0,3,70.01,Fabryczna,primary
549,395000.0,1,38.0,Psie Pole,secondary
550,947055.0,3,59.8,Śródmieście,primary
551,695000.0,2,49.82,Stare Miasto,primary
552,769000.0,3,56.96,Fabryczna,secondary
553,565000.0,3,48.84,Śródmieście,secondary
554,576081.0,2,58.19,Psie Pole,primary
555,650000.0,3,53.62,Fabryczna,secondary
556,710000.0,3,50.02,Krzyki,secondary
557,680900.0,2,77.56,Fabryczna,primary
558,460000.0,2,41.5,Fabryczna,secondary
559,785273.0,3,73.39,Krzyki,primary
560,958296.0,4,74.3,Śródmieście,primary
561,691033.0,3,58.07,Krzyki,primary
562,999990.0,3,93.0,Krzyki,secondary
563,509309.0,1,40.81,Krzyki,primary
564,699200.0,3,58.2,Psie Pole,primary
565,488999.0,2,45.58,Krzyki,secondary
566,1050000.0,2,56.0,Psie Pole,secondary
567,931470.0,1,76.35,Fabryczna,primary
568,459000.0,2,33.06,Stare Miasto,secondary
569,554928.0,4,63.5,Krzyki,primary
570,667000.0,3,58.0,Krzyki,primary
571,789000.0,3,60.0,Śródmieście,primary
572,390000.0,2,49.0,Krzyki,secondary
573,850000.0,2,60.0,Stare Miasto,secondary
574,662055.0,3,57.57,Krzyki,primary
575,981749.0,3,64.28,Stare Miasto,primary
576,620000.0,2,42.0,Psie Pole,secondary
577,999000.0,5,87.0,Psie Pole,secondary
578,1034178.0,3,53.43,Stare Miasto,primary
579,1215485.0,4,84.33,Stare Miasto,primary
580,499000.0,1,30.68,Stare Miasto,primary
581,600000.0,2,50.0,Krzyki,secondary
582,696179.0,3,60.59,Krzyki,primary
583,690000.0,3,69.0,Śródmieście,secondary
584,1010516.0,4,73.35,Stare Miasto,primary
585,750308.0,3,61.1,Krzyki,primary
586,825000.0,3,78.72,Psie Pole,secondary
587,599000.0,3,59.0,Psie Pole,secondary
588,985000.0,3,75.4,Krzyki,secondary
589,606288.0,2,44.58,Fabryczna,primary
